"","long","depth","mag","stations","lat"
"106",167.44,40,4.8,42,-15.78
"107",167.5,135,4.4,21,-15.61
"108",167.51,123,4.7,28,-15.36
"109",167.51,155,4.6,18,-14.72
"110",167.53,128,5.1,61,-15.48
"111",167.54,125,4.6,18,-16.45
"112",167.62,127,6.4,122,-15.56
"113",167.68,140,4.7,16,-15.54
"114",167.7,45,4.7,23,-16.96
"115",167.89,49,5.1,43,-17.93
"116",167.91,182,4.5,28,-16.23
"117",167.91,183,5.6,109,-15.93
"118",167.95,188,5.1,68,-16.24
"119",167.95,190,5.3,81,-15.99
"120",168.02,53,4.7,12,-16.24
"121",168.08,204,4.5,16,-16.31
"122",168.52,146,4.8,33,-17.97
"123",168.63,209,4.7,29,-17.38
"124",168.69,49,5.1,49,-20.06
"125",168.71,40,4.8,38,-20.33
"126",168.75,50,4.6,23,-20.09
"127",168.8,82,4.4,14,-18.73
"128",168.93,100,4.4,17,-18.54
"129",168.98,63,4.5,21,-19.52
"130",168.98,234,4.7,28,-17.99
"131",169.01,158,4.4,10,-19.06
"132",169.04,211,4.8,30,-18.49
"133",169.05,217,4.9,35,-18.56
"134",169.09,629,4.5,19,-12.95
"135",169.1,218,4.2,27,-18.69
"136",169.14,66,4.8,37,-20.07
"137",169.15,149,4.4,15,-19.47
"138",169.21,221,4.4,16,-18.8
"139",169.23,206,4.5,17,-18.73
"140",169.24,218,5.3,53,-18.77
"141",169.28,654,4.4,22,-13.09
"142",169.31,223,4.7,35,-18.56
"143",169.32,260,4.6,23,-18.64
"144",169.33,230,4.4,11,-18.82
"145",169.33,254,4.7,35,-19.18
"146",169.37,248,5.3,60,-18.92
"147",169.41,246,4.6,27,-19.23
"148",169.42,239,4.5,27,-18.89
"149",169.44,242,5,41,-18.97
"150",169.46,248,4.4,33,-18.91
"151",169.46,658,4.6,43,-12.66
"152",169.48,248,4.2,13,-18.96
"153",169.48,259,4.4,21,-18.89
"154",169.49,100,4.6,22,-20.24
"155",169.5,150,4.2,12,-19.15
"156",169.5,204,4.6,35,-19.64
"157",169.52,663,4.4,30,-12.93
"158",169.53,268,4.3,21,-19.17
"159",169.58,644,4.9,68,-13.05
"160",169.63,266,4.8,31,-19.1
"161",169.63,641,5.1,57,-12.93
"162",169.66,89,4.9,42,-20.64
"163",169.71,271,4.2,14,-19.72
"164",169.71,287,4.4,23,-18.76
"165",169.75,61,5.1,40,-21.52
"166",169.76,134,4.6,33,-20.48
"167",169.84,93,4.9,31,-20.9
"168",169.9,43,5.2,56,-21.6
"169",169.92,139,6.1,94,-20.7
"170",170.04,56,5,22,-21.35
"171",170.3,69,4.8,27,-22.7
"172",170.3,641,5.3,93,-13.45
"173",170.34,642,4.7,29,-14.28
"174",170.4,106,4.9,38,-22.5
"175",170.45,166,5.1,22,-21.44
"176",170.5,117,4.7,32,-21.5
"177",170.52,129,5.2,30,-21.53
"178",170.56,42,4.7,21,-22.95
"179",170.56,165,6,119,-21.59
"180",170.62,638,4.6,20,-13.84
"181",170.7,43,4.9,20,-23
"182",170.99,67,4.8,35,-22.75
"183",171.17,658,4.7,49,-14.82
"184",171.39,637,4.3,21,-14.99
"185",171.4,86,4.7,33,-22.42
"186",171.4,150,5.1,49,-22.19
"187",171.44,83,4.5,25,-22.26
"188",171.46,119,4.7,32,-22.33
"189",171.5,116,4.9,38,-22.37
"190",171.51,112,4.6,14,-22.33
"191",171.52,106,5,43,-22.34
"192",171.65,130,4.6,39,-22.36
"193",171.66,125,5.2,51,-22.33
"194",171.72,47,4.6,27,-22.87
"195",172.23,46,5.3,67,-13.66
"196",172.29,64,4.7,14,-13.47
"197",172.38,613,5,61,-13.82
"198",172.65,56,5.1,50,-22.87
"199",172.76,618,4.4,18,-13.36
"200",172.91,54,5.5,71,-22.54
"201",173.2,46,4.6,26,-22.75
"202",173.49,48,4.9,42,-21.27
"203",173.5,614,4.2,23,-14.31
"204",174.21,40,5.7,78,-21.14
"205",174.46,546,5.7,99,-19.89
"206",175.7,162,4.7,36,-38.59
"207",176.03,148,4.6,44,-38.46
"208",176.78,263,4.7,34,-37.37
"209",177.01,545,5.2,91,-17.64
"210",177.1,100,5.4,71,-38.28
"211",177.47,65,5.4,65,-37.93
"212",177.52,153,5.6,87,-37.03
"213",177.77,138,4.6,17,-16.45
"214",177.81,146,5,35,-36.95
"215",178.29,609,5,50,-26.5
"216",178.3,605,4.9,43,-26.53
"217",178.3,617,4.8,39,-26.11
"218",178.31,609,4.2,25,-26.13
"219",178.35,606,4.4,21,-26.2
"220",178.4,562,5.6,80,-24.57
"221",178.41,583,4.6,25,-26.2
"222",178.42,554,4.1,15,-25.14
"223",178.43,644,4.9,27,-26
"224",178.47,537,4.8,33,-26.16
"225",178.52,138,5.5,78,-35.94
"226",178.57,600,5,69,-26.53
"227",178.59,548,5.4,65,-26.18
"228",178.9,81,4.3,11,-19.9
"229",178.98,562,4.5,30,-24.39
"230",179.02,550,5.3,86,-24.18
"231",179.07,544,5.1,58,-23.49
"232",179.1,278,4.7,24,-34.63
"233",179.15,564,4.7,17,-23.11
"234",179.2,530,4.3,12,-24.2
"235",179.22,492,4.3,16,-24.78
"236",179.24,553,4.6,21,-22.58
"237",179.27,566,5.1,49,-23.31
"238",179.33,600,4.3,13,-25.82
"239",179.36,521,4.2,23,-23.81
"240",179.43,40,5,37,-34.2
"241",179.5,492,4.5,25,-26.16
"242",179.5,605,4.1,21,-24.08
"243",179.52,504,4.8,34,-24.34
"244",179.54,470,4.4,22,-25.93
"245",179.54,505,4.9,50,-24.97
"246",179.59,622,4.3,19,-17.47
"247",179.6,583,5.4,67,-21.98
"248",179.6,646,4.2,21,-23.7
"249",179.61,422,4.6,41,-32.2
"250",179.62,587,4.1,23,-22.14
"251",179.62,627,5,45,-21.96
"252",179.67,498,4.2,14,-24.89
"253",179.68,538,4.3,21,-24.09
"254",179.69,507,4.6,35,-25.31
"255",179.7,500,4.7,29,-23.3
"256",179.71,579,5.1,58,-22.1
"257",179.77,587,4.8,31,-22.03
"258",179.78,570,4.4,13,-23.5
"259",179.79,460,4.7,44,-26.18
"260",179.8,176,4.7,26,-32.82
"261",179.82,75,5.6,79,-34.68
"262",179.82,511,4.4,23,-24.97
"263",179.84,474,4.6,32,-25.04
"264",179.85,477,4.2,34,-24.71
"265",179.85,522,4.7,29,-24.4
"266",179.86,476,4.4,29,-25.23
"267",179.86,491,4.2,23,-25.25
"268",179.87,480,4.4,25,-24.96
"269",179.88,523,4.6,24,-24.27
"270",179.89,526,4.9,43,-23.79
"271",179.9,59,4.8,35,-35.48
"272",179.9,406,4.3,19,-32.14
"273",179.9,498,4.1,12,-23.8
"274",179.9,579,4.4,16,-23.9
"275",179.91,518,4.5,23,-23.97
"276",179.92,484,4.7,33,-24.57
"277",179.93,574,4,12,-23.54
"278",179.95,543,4.1,21,-23.47
"279",179.96,538,4.5,26,-23.64
"280",179.97,510,4.8,44,-24.33
"281",179.97,541,4.6,50,-23.39
"282",179.98,479,4.5,27,-25.46
"283",179.98,524,4.6,11,-23.73
"284",179.99,506,5.2,75,-23.74
"285",179.99,527,5.1,49,-23.73
"286",179.99,538,5.4,87,-23.53
"287",180,331,4.5,27,-32.14
"288",180,452,4.3,19,-24.81
"289",180,488,4.5,10,-25
"290",180,534,4.5,11,-23.91
"291",180,550,4.7,23,-23.5
"292",180,553,4.7,41,-23.43
"293",180.01,553,5.3,61,-23.36
"294",180.02,485,4.9,48,-25.59
"295",180.03,500,4.5,34,-24.41
"296",180.04,564,4.3,15,-23.54
"297",180.05,432,4.2,19,-26.06
"298",180.06,530,4,23,-23.49
"299",180.08,493,4.3,21,-24.12
"300",180.09,498,4.8,40,-23.82
"301",180.09,543,4.6,28,-23.46
"302",180.1,413,4.4,22,-30.72
"303",180.1,481,4.3,15,-25.04
"304",180.11,539,5,41,-23.46
"305",180.12,533,4.4,27,-23.1
"306",180.13,411,4.7,42,-30.66
"307",180.13,512,4.8,40,-23.5
"308",180.13,525,4.5,15,-23.84
"309",180.15,467,4.5,25,-25.31
"310",180.15,524,4.4,22,-23.87
"311",180.16,505,4.5,26,-23.77
"312",180.16,512,4.4,18,-23.3
"313",180.17,462,5.3,63,-23.58
"314",180.17,541,4.6,32,-23.46
"315",180.18,525,4.6,31,-23.93
"316",180.18,528,5,59,-23.33
"317",180.2,42,4.6,32,-35.56
"318",180.2,186,4.6,27,-33.03
"319",180.2,216,5.7,90,-32.22
"320",180.21,75,5.2,65,-34.02
"321",180.21,510,4.5,37,-23.42
"322",180.21,524,4.6,50,-23.92
"323",180.21,553,4.2,23,-23.47
"324",180.22,470,4.8,41,-24.96
"325",180.22,508,4.2,23,-24.03
"326",180.23,474,4.5,13,-23.56
"327",180.23,475,4.4,26,-23.61
"328",180.23,520,4.2,19,-23.45
"329",180.24,511,4.8,37,-23.47
"330",180.26,464,4.8,60,-25.63
"331",180.26,497,4.3,32,-23.85
"332",180.26,530,4.7,22,-23.33
"333",180.27,535,4.3,22,-23.55
"334",180.27,537,5,63,-23.61
"335",180.28,431,5.4,57,-19.66
"336",180.28,601,4.2,21,-22.24
"337",180.3,440,4,12,-25.6
"338",180.3,510,4.6,30,-23.71
"339",180.3,595,5.2,74,-17.72
"340",180.31,518,5.1,71,-23.78
"341",180.31,598,4.4,18,-22.63
"342",180.34,434,4.6,41,-25.68
"343",180.38,484,4.3,27,-24.19
"344",180.38,577,5.7,104,-22.13
"345",180.38,590,4.9,35,-22.09
"346",180.39,608,4.7,30,-21.88
"347",180.4,603,4.1,11,-22.1
"348",180.4,606,4.7,27,-22.05
"349",180.47,587,4.6,28,-22.06
"350",180.48,581,5,54,-22.23
"351",180.49,532,4,14,-22.12
"352",180.49,586,4.6,13,-22.16
"353",180.5,201,4.4,41,-34.4
"354",180.5,595,4,22,-21.6
"355",180.5,626,4.1,19,-17.98
"356",180.52,561,4.5,19,-22
"357",180.53,583,4.9,20,-22
"358",180.54,565,4.2,12,-22.32
"359",180.54,603,5.2,66,-21.96
"360",180.57,168,4.7,39,-31.94
"361",180.58,580,4.4,22,-22.09
"362",180.58,594,4.5,45,-22.2
"363",180.58,622,4.2,23,-17.88
"364",180.6,42,4.4,25,-34.89
"365",180.6,178,4.5,19,-31.8
"366",180.6,328,4.4,18,-31.24
"367",180.6,584,4,11,-22.06
"368",180.6,627,4.5,29,-17.94
"369",180.6,671,4.2,16,-19.3
"370",180.62,350,4.7,32,-30.28
"371",180.62,636,5,100,-18
"372",180.63,617,5,63,-21.68
"373",180.63,639,4.6,39,-18.18
"374",180.64,544,5,50,-22.64
"375",180.64,591,4.5,18,-22.14
"376",180.67,593,4.3,13,-21.37
"377",180.67,595,4.6,30,-21.75
"378",180.68,617,4.5,18,-21.39
"379",180.69,583,4.4,13,-21.44
"380",180.69,636,4.6,29,-21.33
"381",180.7,589,4.4,27,-20.74
"382",180.7,628,5.2,72,-18.08
"383",180.74,613,4.2,20,-21.4
"384",180.77,592,4.3,21,-21.63
"385",180.78,615,4.7,51,-21.4
"386",180.78,638,4,14,-21.03
"387",180.79,498,5.2,79,-16.46
"388",180.8,51,4.7,35,-33.57
"389",180.8,275,4,14,-30.3
"390",180.8,286,4.8,43,-30.01
"391",180.8,349,4,10,-23.55
"392",180.81,397,4.3,24,-24.64
"393",180.81,605,4.6,34,-21.24
"394",180.82,624,4.3,14,-21.3
"395",180.84,586,4.5,17,-21.31
"396",180.85,607,4.5,23,-21.29
"397",180.85,627,5.9,119,-21.08
"398",180.86,615,4.9,23,-21.24
"399",180.86,632,4.4,15,-18.05
"400",180.87,624,5.5,105,-18.14
"401",180.87,631,5.2,69,-18.21
"402",180.88,680,4.2,22,-20.32
"403",180.89,577,4.6,43,-21.85
"404",180.9,57,4.7,44,-32.6
"405",180.9,334,4.2,28,-30.63
"406",180.9,616,4.3,10,-21.05
"407",180.9,627,4.1,11,-20.2
"408",180.92,377,4.8,43,-24.5
"409",180.92,617,4.5,26,-21.3
"410",180.92,619,4.5,18,-21.18
"411",180.94,47,4.9,47,-33.09
"412",180.94,390,4.6,33,-25.48
"413",180.94,664,4.7,34,-19.4
"414",180.96,546,4.2,23,-17.47
"415",180.97,393,4.2,21,-25.04
"416",180.98,401,4.5,39,-27.23
"417",180.98,548,5.1,79,-17.59
"418",180.98,631,4.8,36,-18.26
"419",180.99,367,4.5,27,-23.84
"420",181,445,4.5,17,-22.7
"421",181,618,4.1,10,-21.77
"422",181.01,622,4.3,15,-20.83
"423",181.02,479,4.4,14,-17.4
"424",181.02,584,4.2,18,-21.46
"425",181.02,626,4.5,36,-20.99
"426",181.03,497,4.1,13,-17.32
"427",181.03,650,4.2,15,-20.62
"428",181.04,624,4.2,21,-18.44
"429",181.06,611,4.3,20,-20.95
"430",181.06,625,4.5,35,-21.14
"431",181.09,536,5.1,61,-17.59
"432",181.09,613,4.6,18,-21.23
"433",181.11,304,5.3,60,-28.98
"434",181.11,365,4.5,21,-27.24
"435",181.11,568,4.4,22,-17.68
"436",181.13,594,4.9,43,-21.07
"437",181.15,41,5.5,81,-32.45
"438",181.15,210,4.3,17,-30.01
"439",181.16,215,5.1,51,-29.9
"440",181.16,568,4.2,12,-20.77
"441",181.16,576,4.5,17,-20.84
"442",181.17,367,4.3,25,-25.28
"443",181.18,574,5.2,67,-17.71
"444",181.19,637,4.2,23,-20.36
"445",181.2,49,4.8,20,-30.04
"446",181.2,175,4,16,-30.64
"447",181.2,361,4.7,32,-26.02
"448",181.2,483,4.2,10,-21.04
"449",181.2,530,4,15,-17.8
"450",181.2,537,4.1,11,-17.61
"451",181.2,591,4.9,45,-21.04
"452",181.2,605,4.5,31,-20.97
"453",181.21,47,4.9,39,-32.42
"454",181.22,527,4.2,24,-17.05
"455",181.23,546,4.4,35,-17.7
"456",181.23,580,4.1,16,-17.56
"457",181.24,602,4.7,44,-20.58
"458",181.24,655,4.1,14,-18.89
"459",181.25,559,4.1,16,-17.74
"460",181.25,599,4.6,20,-20.89
"461",181.26,556,4.4,21,-20.94
"462",181.27,538,4,33,-17.82
"463",181.28,548,4.5,30,-21.91
"464",181.28,574,4.6,17,-17.64
"465",181.3,60,4.7,33,-33.29
"466",181.3,203,4.4,20,-30.51
"467",181.3,535,5.7,112,-17.84
"468",181.3,557,4.9,78,-21.08
"469",181.3,593,4.1,13,-17.9
"470",181.3,614,4,12,-17.86
"471",181.31,549,4.7,33,-17.7
"472",181.31,575,4.6,42,-17.74
"473",181.32,539,4.1,12,-17.8
"474",181.32,573,4.1,17,-17.46
"475",181.32,587,5,49,-17.79
"476",181.32,597,4.7,39,-20.65
"477",181.33,545,4.2,37,-17.44
"478",181.33,605,4.3,18,-20.57
"479",181.35,535,4.4,23,-17.8
"480",181.36,515,4.1,19,-17.68
"481",181.37,397,4.2,15,-22.85
"482",181.37,642,4,17,-17.95
"483",181.38,555,4.6,15,-21.09
"484",181.38,556,4.2,13,-20.48
"485",181.38,587,5.1,47,-17.8
"486",181.39,501,4.6,36,-21.38
"487",181.39,513,5.1,81,-21.55
"488",181.4,40,4.3,17,-30.4
"489",181.4,529,4.6,25,-17.44
"490",181.4,560,4.2,12,-21.2
"491",181.4,582,4,14,-20.65
"492",181.4,585,4.1,17,-17.66
"493",181.4,608,4.6,13,-20.3
"494",181.4,630,5.1,54,-19.77
"495",181.4,655,4.3,20,-17.96
"496",181.41,105,4.4,15,-19.76
"497",181.41,464,4.5,21,-21.34
"498",181.41,543,4.3,17,-21.16
"499",181.41,586,4.5,33,-17.9
"500",181.41,593,4.9,40,-20.68
"501",181.41,595,4.6,36,-20.72
"502",181.42,409,4.3,27,-15.45
"503",181.42,524,4.2,16,-17.46
"504",181.42,559,4.6,27,-20.95
"505",181.42,565,5.3,89,-17.72
"506",181.42,575,4.3,18,-20.73
"507",181.43,205,4.4,34,-29.91
"508",181.44,589,5.6,115,-17.85
"509",181.47,562,4.4,27,-17.88
"510",181.47,582,4.5,25,-20.97
"511",181.48,542,4.1,20,-17.84
"512",181.48,555,4,17,-17.91
"513",181.48,578,4.7,43,-17.97
"514",181.49,537,4,15,-17.94
"515",181.49,573,4.2,14,-17.82
"516",181.49,641,5,49,-18.48
"517",181.5,55,4.8,26,-32.62
"518",181.5,538,5.5,104,-21.11
"519",181.5,546,4.6,31,-20.92
"520",181.5,548,4.1,10,-17.6
"521",181.5,573,4,19,-17.9
"522",181.5,589,4,12,-17.9
"523",181.5,590,4.5,21,-17.83
"524",181.5,593,4.3,16,-17.95
"525",181.51,524,4.8,49,-21.22
"526",181.51,548,4.7,32,-20.9
"527",181.51,586,5.2,68,-17.98
"528",181.51,601,4,16,-17.94
"529",181.51,609,4.4,32,-20.27
"530",181.52,618,4.6,41,-18.13
"531",181.53,511,4.8,56,-17.78
"532",181.53,598,4.5,36,-20.74
"533",181.54,546,4.3,28,-18.07
"534",181.54,564,5,64,-20.93
"535",181.55,582,4.7,35,-20.69
"536",181.57,530,4.2,20,-20.91
"537",181.57,572,4.5,26,-18.07
"538",181.57,579,4.9,49,-17.99
"539",181.57,587,5,51,-18.04
"540",181.58,490,5,77,-21.19
"541",181.58,573,4.3,21,-20.94
"542",181.58,590,4.2,14,-17.98
"543",181.58,603,5,65,-18.07
"544",181.59,57,5.2,49,-31.03
"545",181.59,499,5.1,91,-20.85
"546",181.59,543,4.6,34,-17.56
"547",181.59,595,4.1,26,-17.99
"548",181.59,604,4.5,23,-18.06
"549",181.6,72,4.7,22,-33
"550",181.6,153,4.2,21,-33.2
"551",181.6,169,4.6,27,-32.9
"552",181.6,553,4.4,14,-18.2
"553",181.6,587,4.1,13,-20.14
"554",181.61,598,4.3,27,-17.98
"555",181.61,599,4.6,30,-20.63
"556",181.62,558,4.5,31,-20.18
"557",181.62,561,4.5,32,-17.93
"558",181.62,562,4.8,41,-20.42
"559",181.62,574,4.8,38,-17.99
"560",181.63,80,4.5,17,-30.24
"561",181.63,568,4.3,36,-18.11
"562",181.63,592,4.4,28,-18.1
"563",181.65,593,4.1,16,-18.07
"564",181.65,619,4.3,26,-17.95
"565",181.66,221,5.1,63,-28.83
"566",181.66,559,4.9,50,-20.54
"567",181.66,600,4.4,10,-21
"568",181.66,626,4.1,19,-17.97
"569",181.67,577,5,67,-20.82
"570",181.67,597,4.6,28,-18.11
"571",181.69,487,4.4,20,-21.26
"572",181.69,508,4.5,14,-20.32
"573",181.69,559,4.5,24,-20.49
"574",181.7,80,4.8,13,-27.38
"575",181.7,94,4.8,59,-27.72
"576",181.7,211,4.4,40,-32.7
"577",181.7,329,4.5,24,-26.4
"578",181.7,450,4,11,-17.7
"579",181.7,560,4.2,13,-20.87
"580",181.71,226,4.1,19,-28.25
"581",181.71,323,4.2,15,-21.81
"582",181.71,574,4,20,-18.14
"583",181.71,594,4.6,24,-18.12
"584",181.72,487,4.3,16,-20.97
"585",181.72,544,4.6,52,-18.1
"586",181.73,583,4.7,57,-17.95
"587",181.74,211,4.7,35,-28.74
"588",181.74,538,4.3,31,-20.41
"589",181.74,616,4.3,17,-18.19
"590",181.75,75,4.7,41,-34.12
"591",181.75,582,4.7,27,-20.07
"592",181.75,640,4.5,47,-18.04
"593",181.77,600,4.1,11,-18.4
"594",181.8,246,4.3,23,-34.1
"595",181.82,598,4.1,14,-17.81
"596",181.83,640,4.3,24,-17.82
"597",181.84,611,4.2,20,-18.04
"598",181.85,534,4.1,14,-20.45
"599",181.85,576,4.9,54,-19.85
"600",181.86,530,4.5,27,-20.42
"601",181.87,577,4.7,19,-20.04
"602",181.87,597,4.2,18,-19.6
"603",181.88,649,5.4,88,-18.12
"604",181.89,567,4.1,27,-17.93
"605",181.9,309,4.3,11,-22.3
"606",181.9,409,4.4,19,-21.58
"607",181.9,417,4.2,14,-17.46
"608",181.9,556,4.4,17,-20.9
"609",181.9,576,4.1,16,-20.21
"610",181.91,442,5.4,82,-18.6
"611",181.91,590,4.6,34,-19.61
"612",181.93,194,4.4,15,-28.11
"613",181.96,53,5.2,89,-27.98
"614",181.96,649,4,11,-20.42
"615",181.98,651,4.8,43,-18.17
"616",181.99,504,4.2,11,-20.16
"617",182,125,4.7,22,-30.2
"618",182,199,4,16,-28
"619",182,569,4.6,12,-17.87
"620",182.01,605,5.1,49,-20.04
"621",182.02,56,5.5,68,-30.17
"622",182.02,402,4.3,18,-20.9
"623",182.02,497,5.2,64,-20.64
"624",182.04,499,4.5,29,-20.56
"625",182.04,575,4.4,23,-19.83
"626",182.04,609,4.4,26,-18.18
"627",182.1,62,4.9,25,-30.69
"628",182.1,68,4.5,26,-25.8
"629",182.1,154,4.6,22,-27.6
"630",182.1,179,4.4,19,-29.1
"631",182.1,193,4.8,27,-27.84
"632",182.1,397,4.2,22,-20.37
"633",182.1,500,4.5,37,-20.45
"634",182.11,554,4.4,19,-18.54
"635",182.12,205,5.6,98,-26
"636",182.13,562,4.4,31,-19.85
"637",182.16,41,4.7,24,-30.8
"638",182.16,489,4.2,16,-20.1
"639",182.18,43,4.7,17,-27.1
"640",182.18,56,4.5,14,-27.18
"641",182.18,69,5.4,68,-27.19
"642",182.18,360,4.3,23,-19.67
"643",182.2,445,4,12,-17.7
"644",182.2,501,4.2,23,-18.85
"645",182.21,417,5.6,129,-18.82
"646",182.22,162,5.1,67,-27.64
"647",182.22,506,4.3,24,-20.65
"648",182.23,563,4,17,-18.55
"649",182.25,68,4.6,18,-28.1
"650",182.26,174,4.5,18,-27.75
"651",182.26,575,4.3,11,-18.83
"652",182.28,65,4.2,14,-27.22
"653",182.28,529,5,50,-20.6
"654",182.29,326,4.1,15,-19.4
"655",182.29,399,4.1,10,-15.03
"656",182.3,49,4.4,11,-26.1
"657",182.3,56,4.9,34,-30.1
"658",182.3,390,4.9,48,-19.19
"659",182.3,476,4.5,10,-20.3
"660",182.3,492,4.3,23,-20.51
"661",182.3,533,4.2,11,-20.2
"662",182.3,589,4.2,19,-19.41
"663",182.31,129,4.4,14,-29.5
"664",182.31,388,4.2,14,-16.85
"665",182.32,261,4.3,13,-21.97
"666",182.32,442,4.2,22,-18.98
"667",182.35,554,4.2,13,-18.75
"668",182.36,65,4.7,21,-27.27
"669",182.37,328,4.4,17,-19.84
"670",182.37,376,4.8,57,-18.48
"671",182.37,482,4.6,37,-20.21
"672",182.37,502,5.1,48,-20.43
"673",182.38,45,4.5,16,-27.27
"674",182.38,172,4.4,14,-25.79
"675",182.38,579,4.6,38,-19.57
"676",182.39,69,4.3,14,-27.2
"677",182.39,69,4.5,12,-27.38
"678",182.39,117,5.1,43,-28.05
"679",182.39,243,4.7,32,-23.89
"680",182.39,342,4.2,14,-18.31
"681",182.39,544,4.6,30,-19.94
"682",182.4,51,4.4,18,-30.09
"683",182.4,61,4.6,11,-27.6
"684",182.4,63,4.6,22,-30.39
"685",182.4,176,4.6,28,-33
"686",182.4,186,4.2,17,-26.67
"687",182.4,260,4.1,12,-21.16
"688",182.4,350,4,12,-21.62
"689",182.4,375,4,18,-19.73
"690",182.41,385,5.2,67,-18.8
"691",182.41,420,4.5,29,-17.02
"692",182.43,55,4.6,10,-27.21
"693",182.43,566,4.3,20,-18.94
"694",182.43,571,4.5,23,-19.22
"695",182.44,364,4.3,20,-21.48
"696",182.44,397,4,12,-19.7
"697",182.44,518,4.2,10,-20.61
"698",182.45,477,4,16,-19.06
"699",182.47,103,4.3,11,-27.71
"700",182.5,51,4.5,13,-27.27
"701",182.5,68,4.3,12,-27.54
"702",182.5,133,4.2,17,-26.1
"703",182.5,184,4.3,11,-26.46
"704",182.51,423,4.2,21,-15.83
"705",182.51,579,5.2,56,-19.13
"706",182.53,60,4.6,21,-27.18
"707",182.53,204,4.6,27,-23.85
