"","eventDate","decimalLongitude","decimalLatitude","eventID"
"190",5,185.13,-15.85,"event-5-190"
"191",1,184.09,-20.02,"event-1-191"
"192",2,169.31,-18.56,"event-2-192"
"193",3,182,-17.87,"event-3-193"
"194",4,179.5,-24.08,"event-4-194"
"195",5,179.61,-32.2,"event-5-195"
"196",1,181.19,-20.36,"event-1-196"
"197",2,182.53,-23.85,"event-2-197"
"198",3,182.75,-24,"event-3-198"
"199",4,181.74,-20.41,"event-4-199"
"200",5,180.3,-17.72,"event-5-200"
"201",1,182.18,-19.67,"event-1-201"
"202",2,182.2,-17.7,"event-2-202"
"203",3,183.59,-16.23,"event-3-203"
"204",4,183.35,-26.72,"event-4-204"
"205",5,169.09,-12.95,"event-5-205"
"206",1,182.32,-21.97,"event-1-206"
"207",2,180.54,-21.96,"event-2-207"
"208",3,181.69,-20.32,"event-3-208"
"209",4,180.62,-30.28,"event-4-209"
"210",5,182.3,-20.2,"event-5-210"
"211",1,180.13,-30.66,"event-1-211"
"212",2,184.1,-16.17,"event-2-212"
"213",3,181.71,-28.25,"event-3-213"
"214",4,185.68,-20.47,"event-4-214"
"215",5,180.27,-23.55,"event-5-215"
"216",1,181.58,-20.94,"event-1-216"
"217",2,182.4,-26.67,"event-2-217"
"218",3,181.52,-18.13,"event-3-218"
"219",4,183.83,-20.21,"event-4-219"
"220",5,182.39,-18.31,"event-5-220"
"221",1,185.7,-16.52,"event-1-221"
"222",2,171.65,-22.36,"event-2-222"
"223",3,184.48,-22.43,"event-3-223"
"224",4,182.1,-20.37,"event-4-224"
"225",5,180.16,-23.77,"event-5-225"
"226",1,166.66,-13.65,"event-1-226"
"227",2,182.9,-21.55,"event-2-227"
"228",3,185.75,-16.24,"event-3-228"
"229",4,182.53,-23.73,"event-4-229"
"230",5,171.52,-22.34,"event-5-230"
"231",1,180.94,-19.4,"event-1-231"
"232",2,180.81,-24.64,"event-2-232"
"233",3,182.82,-16,"event-3-233"
"234",4,185.35,-19.62,"event-4-234"
"235",5,180.13,-23.84,"event-5-235"
"236",1,179.93,-23.54,"event-1-236"
"237",2,182.68,-28.23,"event-2-237"
"238",3,180.63,-21.68,"event-3-238"
"239",4,166.53,-13.44,"event-4-239"
"240",5,180.22,-24.96,"event-5-240"
"241",1,182.74,-20.08,"event-1-241"
"242",2,182.84,-24.36,"event-2-242"
"243",3,166,-14.7,"event-3-243"
"244",4,183.68,-18.2,"event-4-244"
"245",5,185.51,-16.65,"event-5-245"
"246",1,181.67,-18.11,"event-1-246"
"247",2,181.65,-17.95,"event-2-247"
"248",3,186.9,-15.5,"event-3-248"
"249",4,180.01,-23.36,"event-4-249"
"250",5,169.5,-19.15,"event-5-250"
"251",1,166.26,-10.97,"event-1-251"
"252",2,167.24,-14.85,"event-2-252"
"253",3,181.38,-17.8,"event-3-253"
"254",4,170.4,-22.5,"event-4-254"
"255",5,182.1,-29.1,"event-5-255"
"256",1,180.88,-20.32,"event-1-256"
"257",2,184.89,-16.09,"event-2-257"
"258",3,169.33,-19.18,"event-3-258"
"259",4,179.36,-23.81,"event-4-259"
"260",5,179.89,-23.79,"event-5-260"
"261",1,184.23,-19.02,"event-1-261"
"262",2,181.51,-20.9,"event-2-262"
"263",3,169.01,-19.06,"event-3-263"
"264",4,181.47,-17.88,"event-4-264"
"265",5,183.05,-19.41,"event-5-265"
"266",1,184.2,-26.17,"event-1-266"
"267",2,167.24,-14.95,"event-2-267"
"268",3,168.8,-18.73,"event-3-268"
"269",4,182.37,-20.21,"event-4-269"
"270",5,180.85,-21.29,"event-5-270"
"271",1,181.41,-19.76,"event-1-271"
"272",2,180.38,-22.09,"event-2-272"
"273",3,179.9,-23.8,"event-3-273"
"274",4,181.99,-20.16,"event-4-274"
"275",5,180.38,-22.13,"event-5-275"
"276",1,181.4,-17.44,"event-1-276"
"277",2,180.18,-23.33,"event-2-277"
"278",3,179.22,-24.78,"event-3-278"
"279",4,180.52,-22,"event-4-279"
"280",5,182.51,-19.13,"event-5-280"
"281",1,180.1,-30.72,"event-1-281"
"282",2,180.54,-22.32,"event-2-282"
"283",3,177.77,-16.45,"event-3-283"
"284",4,185,-17.7,"event-4-284"
"285",5,184.68,-17.95,"event-5-285"
"286",1,179.85,-24.4,"event-1-286"
"287",2,180.6,-19.3,"event-2-287"
"288",3,185.32,-21.13,"event-3-288"
"289",4,181.57,-18.07,"event-4-289"
"290",5,182.28,-20.6,"event-5-290"
"291",1,181.49,-18.48,"event-1-291"
"292",2,166.2,-13.34,"event-2-292"
"293",3,181.5,-20.92,"event-3-293"
"294",4,179.69,-25.31,"event-4-294"
"295",5,186.21,-15.24,"event-5-295"
"296",1,185.86,-16.4,"event-1-296"
"297",2,178.4,-24.57,"event-2-297"
"298",3,181.51,-17.94,"event-3-298"
"299",4,181.2,-30.64,"event-4-299"
"300",5,169.32,-18.64,"event-5-300"
"301",1,169.28,-13.09,"event-1-301"
"302",2,184.14,-19.68,"event-2-302"
"303",3,185.74,-16.44,"event-3-303"
"304",4,181.38,-21.09,"event-4-304"
"305",5,171.39,-14.99,"event-5-305"
"306",1,179.7,-23.3,"event-1-306"
"307",2,181.36,-17.68,"event-2-307"
"308",3,180.53,-22,"event-3-308"
"309",4,181.39,-21.38,"event-4-309"
"310",5,181.5,-32.62,"event-5-310"
"311",1,169.58,-13.05,"event-1-311"
"312",2,169.63,-12.93,"event-2-312"
"313",3,181.91,-18.6,"event-3-313"
"314",4,181.41,-21.34,"event-4-314"
"315",5,183.78,-21.48,"event-5-315"
"316",1,181.02,-17.4,"event-1-316"
"317",2,181.03,-17.32,"event-2-317"
"318",3,169.24,-18.77,"event-3-318"
"319",4,179.5,-26.16,"event-4-319"
"320",5,167.1,-12.59,"event-5-320"
"321",1,167.32,-14.82,"event-1-321"
"322",2,183.48,-21.79,"event-2-322"
"323",3,182.04,-19.83,"event-3-323"
"324",4,182.31,-29.5,"event-4-324"
"325",5,166.36,-12.49,"event-5-325"
"326",1,182.3,-26.1,"event-1-326"
"327",2,181.2,-21.04,"event-2-327"
"328",3,165.77,-10.78,"event-3-328"
"329",4,185.77,-20.76,"event-4-329"
"330",5,166.24,-11.41,"event-5-330"
"331",1,183.87,-19.1,"event-1-331"
"332",2,180,-23.91,"event-2-332"
"333",3,182.6,-27.33,"event-3-333"
"334",4,166.6,-12.25,"event-4-334"
"335",5,179.07,-23.49,"event-5-335"
"336",1,182.18,-27.18,"event-1-336"
"337",2,182.1,-25.8,"event-2-337"
"338",3,182.18,-27.19,"event-3-338"
"339",4,182.38,-27.27,"event-4-339"
"340",5,182.18,-27.1,"event-5-340"
"341",1,182.28,-27.22,"event-1-341"
"342",2,181.7,-27.38,"event-2-342"
"343",3,182.5,-27.27,"event-3-343"
"344",4,182.5,-27.54,"event-4-344"
"345",5,182.39,-27.2,"event-5-345"
"346",1,182.47,-27.71,"event-1-346"
"347",2,182.4,-27.6,"event-2-347"
"348",3,182.39,-27.38,"event-3-348"
"349",4,185.48,-21.54,"event-4-349"
"350",5,182.43,-27.21,"event-5-350"
"351",1,182.61,-28.96,"event-1-351"
"352",2,166.29,-12.01,"event-2-352"
"353",3,181.32,-17.46,"event-3-353"
"354",4,182.02,-30.17,"event-4-354"
"355",5,182.36,-27.27,"event-5-355"
"356",1,181.32,-17.79,"event-1-356"
"357",2,171.4,-22.19,"event-2-357"
"358",3,182.68,-17.1,"event-3-358"
"359",4,182.53,-27.18,"event-4-359"
"360",5,166.47,-11.64,"event-5-360"
"361",1,181.58,-17.98,"event-1-361"
"362",2,185.72,-16.9,"event-2-362"
"363",3,179.6,-21.98,"event-3-363"
"364",4,179.9,-32.14,"event-4-364"
"365",5,169.21,-18.8,"event-5-365"
"366",1,183.61,-26.78,"event-1-366"
"367",2,182.37,-20.43,"event-2-367"
"368",3,183.2,-18.3,"event-3-368"
"369",4,182.51,-15.83,"event-4-369"
"370",5,182.93,-23.44,"event-5-370"
"371",1,179.99,-23.73,"event-1-371"
"372",2,184.08,-19.89,"event-2-372"
"373",3,181.09,-17.59,"event-3-373"
"374",4,181.4,-19.77,"event-4-374"
"375",5,184.06,-20.31,"event-5-375"
"376",1,186.75,-15.33,"event-1-376"
"377",2,181.6,-18.2,"event-2-377"
"378",3,186.66,-15.36,"event-3-378"
"379",4,186.42,-15.29,"event-4-379"
"380",5,186.71,-15.36,"event-5-380"
"381",1,167.95,-16.24,"event-1-381"
"382",2,167.14,-13.47,"event-2-382"
"383",3,182.82,-25.5,"event-3-383"
"384",4,167.33,-14.32,"event-4-384"
"385",5,182.01,-20.04,"event-5-385"
"386",1,181.66,-28.83,"event-1-386"
"387",2,181.49,-17.82,"event-2-387"
"388",3,180.98,-27.23,"event-3-388"
"389",4,165.99,-10.72,"event-4-389"
"390",5,183.88,-27,"event-5-390"
"391",1,186.16,-20.36,"event-1-391"
"392",2,183.68,-27.17,"event-2-392"
"393",3,181.26,-20.94,"event-3-393"
"394",4,181.9,-17.46,"event-4-394"
"395",5,181.2,-21.04,"event-5-395"
"396",1,179.6,-23.7,"event-1-396"
"397",2,181.42,-17.72,"event-2-397"
"398",3,188.13,-15.87,"event-3-398"
"399",4,181.3,-17.84,"event-4-399"
"400",5,170.3,-13.45,"event-5-400"
"401",1,182.16,-30.8,"event-1-401"
"402",2,166.14,-11.63,"event-2-402"
"403",3,181.4,-30.4,"event-3-403"
"404",4,178.59,-26.18,"event-4-404"
"405",5,184.5,-15.7,"event-5-405"
"406",1,181.5,-17.95,"event-1-406"
"407",2,182.3,-20.51,"event-2-407"
"408",3,167.51,-15.36,"event-3-408"
"409",4,180.23,-23.61,"event-4-409"
"410",5,181.6,-33.2,"event-5-410"
"411",1,186.8,-17.68,"event-1-411"
"412",2,184.56,-22.24,"event-2-412"
"413",3,169.14,-20.07,"event-3-413"
"414",4,180.1,-25.04,"event-4-414"
"415",5,185.2,-21.5,"event-5-415"
"416",1,167.26,-14.28,"event-1-416"
"417",2,167.26,-14.43,"event-2-417"
"418",3,181.7,-32.7,"event-3-418"
"419",4,181.8,-34.1,"event-4-419"
"420",5,186.2,-19.7,"event-5-420"
"421",1,180.38,-24.19,"event-1-421"
"422",2,182.77,-26.6,"event-2-422"
"423",3,186.8,-17.04,"event-3-423"
"424",4,179.71,-22.1,"event-4-424"
"425",5,180.9,-32.6,"event-5-425"
"426",1,182.4,-33,"event-1-426"
"427",2,181.24,-20.58,"event-2-427"
"428",3,182.6,-20.61,"event-3-428"
"429",4,169.15,-19.47,"event-4-429"
"430",5,180.96,-17.47,"event-5-430"
"431",1,183.4,-18.4,"event-1-431"
"432",2,180.26,-23.33,"event-2-432"
"433",3,182.23,-18.55,"event-3-433"
"434",4,178.47,-26.16,"event-4-434"
"435",5,183.2,-21.8,"event-5-435"
"436",1,182.93,-27.63,"event-1-436"
"437",2,169.48,-18.89,"event-2-437"
"438",3,182.3,-20.3,"event-3-438"
"439",4,182.04,-20.56,"event-4-439"
"440",5,185.32,-16.1,"event-5-440"
"441",1,166.37,-12.66,"event-1-441"
"442",2,184.68,-21.05,"event-2-442"
"443",3,168.52,-17.97,"event-3-443"
"444",4,182.54,-19.83,"event-4-444"
"445",5,183.81,-22.55,"event-5-445"
"446",1,183.52,-22.28,"event-1-446"
"447",2,185.64,-15.72,"event-2-447"
"448",3,181.59,-20.85,"event-3-448"
"449",4,181.5,-21.11,"event-4-449"
"450",5,180.15,-25.31,"event-5-450"
"451",1,182.5,-26.46,"event-1-451"
"452",2,179.68,-24.09,"event-2-452"
"453",3,167.7,-16.96,"event-3-453"
"454",4,182.8,-23.19,"event-4-454"
"455",5,184.7,-20.81,"event-5-455"
"456",1,167.32,-15.03,"event-1-456"
"457",2,181.59,-18.06,"event-2-457"
"458",3,185.6,-19,"event-3-458"
"459",4,179.99,-23.53,"event-4-459"
"460",5,180.63,-18.18,"event-5-460"
"461",1,186.8,-15.66,"event-1-461"
"462",2,180.62,-18,"event-2-462"
"463",3,180.7,-18.08,"event-3-463"
"464",4,180.86,-18.05,"event-4-464"
"465",5,181.16,-29.9,"event-5-465"
"466",1,181.9,-20.9,"event-1-466"
"467",2,167.5,-15.61,"event-2-467"
"468",3,185.43,-16.03,"event-3-468"
"469",4,181.11,-17.68,"event-4-469"
"470",5,180.57,-31.94,"event-5-470"
"471",1,184.36,-19.14,"event-1-471"
"472",2,185.48,-18,"event-2-472"
"473",3,185.94,-16.95,"event-3-473"
"474",4,166.06,-10.79,"event-4-474"
"475",5,185.9,-20.83,"event-5-475"
"476",1,181.6,-32.9,"event-1-476"
"477",2,177.47,-37.93,"event-2-477"
"478",3,183.2,-29.09,"event-3-478"
"479",4,180.23,-23.56,"event-4-479"
"480",5,185.2,-19.6,"event-5-480"
"481",1,180.68,-21.39,"event-1-481"
"482",2,184.87,-14.85,"event-2-482"
"483",3,183.3,-22.7,"event-3-483"
"484",4,181.21,-32.42,"event-4-484"
"485",5,181.3,-17.9,"event-5-485"
"486",1,183.4,-23.58,"event-1-486"
"487",2,180.5,-34.4,"event-2-487"
"488",3,181.2,-17.61,"event-3-488"
"489",4,181.13,-21.07,"event-4-489"
"490",5,170.62,-13.84,"event-5-490"
"491",1,181.63,-30.24,"event-1-491"
"492",2,169.04,-18.49,"event-2-492"
"493",3,180.23,-23.45,"event-3-493"
"494",4,183.54,-16.04,"event-4-494"
"495",5,185.31,-17.14,"event-5-495"
"496",1,172.91,-22.54,"event-1-496"
"497",2,185.3,-15.9,"event-2-497"
"498",3,181.2,-30.04,"event-3-498"
"499",4,180.22,-24.03,"event-4-499"
"500",5,184.46,-18.89,"event-5-500"
"501",1,187.1,-16.51,"event-1-501"
"502",2,186.3,-20.1,"event-2-502"
"503",3,183.81,-21.06,"event-3-503"
"504",4,166.87,-13.07,"event-4-504"
"505",5,180.09,-23.46,"event-5-505"
"506",1,182.3,-19.41,"event-1-506"
"507",2,165.98,-11.81,"event-2-507"
"508",3,165.96,-11.76,"event-3-508"
"509",4,165.76,-12.08,"event-4-509"
"510",5,180.02,-25.59,"event-5-510"
"511",1,183.63,-26.54,"event-1-511"
"512",2,184.28,-20.9,"event-2-512"
"513",3,187,-16.99,"event-3-513"
"514",4,180.17,-23.46,"event-4-514"
"515",5,181.82,-17.81,"event-5-515"
"516",1,187.2,-15.17,"event-1-516"
"517",2,166.02,-11.67,"event-2-517"
"518",3,184.52,-20.75,"event-3-518"
"519",4,186.9,-19.5,"event-4-519"
"520",5,179.79,-26.18,"event-5-520"
"521",1,185.77,-20.66,"event-1-521"
"522",2,182.54,-19.22,"event-2-522"
"523",3,183.33,-24.68,"event-3-523"
"524",4,167.38,-15.43,"event-4-524"
"525",5,181.15,-32.45,"event-5-525"
"526",1,180.84,-21.31,"event-1-526"
"527",2,167.18,-15.44,"event-2-527"
"528",3,167.01,-13.26,"event-3-528"
"529",4,183.13,-15.26,"event-4-529"
"530",5,180.8,-33.57,"event-5-530"
"531",1,167.01,-15.77,"event-1-531"
"532",2,166.83,-15.79,"event-2-532"
"533",3,183.2,-21,"event-3-533"
"534",4,166.94,-16.28,"event-4-534"
"535",5,184.6,-23.28,"event-5-535"
"536",1,167.25,-16.1,"event-1-536"
"537",2,181.31,-17.7,"event-2-537"
"538",3,166.69,-15.96,"event-3-538"
"539",4,167.34,-15.95,"event-4-539"
"540",5,181.59,-17.56,"event-5-540"
"541",1,167.42,-15.9,"event-1-541"
"542",2,166.9,-15.29,"event-2-542"
"543",3,166.85,-15.86,"event-3-543"
"544",4,166.8,-16.2,"event-4-544"
"545",5,166.91,-15.71,"event-5-545"
"546",1,167.54,-16.45,"event-1-546"
"547",2,166.18,-11.54,"event-2-547"
"548",3,181.91,-19.61,"event-3-548"
"549",4,187.15,-15.61,"event-4-549"
"550",5,181.41,-21.16,"event-5-550"
"551",1,182.22,-20.65,"event-1-551"
"552",2,168.71,-20.33,"event-2-552"
"553",3,166.62,-15.08,"event-3-553"
"554",4,184.61,-23.28,"event-4-554"
"555",5,184.6,-23.44,"event-5-555"
"556",1,184.42,-23.12,"event-1-556"
"557",2,184.46,-23.65,"event-2-557"
"558",3,183.95,-22.91,"event-3-558"
"559",4,180.47,-22.06,"event-4-559"
"560",5,166.49,-13.56,"event-5-560"
"561",1,181.57,-17.99,"event-1-561"
"562",2,184.47,-23.92,"event-2-562"
"563",3,182.1,-30.69,"event-3-563"
"564",4,182.8,-21.92,"event-4-564"
"565",5,180.97,-25.04,"event-5-565"
"566",1,183.91,-19.92,"event-1-566"
"567",2,182.26,-27.75,"event-2-567"
"568",3,181.18,-17.71,"event-3-568"
"569",4,183.84,-19.6,"event-4-569"
"570",5,179.82,-34.68,"event-5-570"
"571",1,167.26,-14.46,"event-1-571"
"572",2,187.55,-18.85,"event-2-572"
"573",3,182.41,-17.02,"event-3-573"
"574",4,186.51,-20.41,"event-4-574"
"575",5,182.04,-18.18,"event-5-575"
"576",1,187.8,-16.49,"event-1-576"
"577",2,181.31,-17.74,"event-2-577"
"578",3,181.69,-20.49,"event-3-578"
"579",4,182.64,-18.51,"event-4-579"
"580",5,183.4,-27.28,"event-5-580"
"581",1,167.16,-15.9,"event-1-581"
"582",2,181.33,-20.57,"event-2-582"
"583",3,166.36,-11.25,"event-3-583"
"584",4,181.87,-20.04,"event-4-584"
"585",5,181.25,-20.89,"event-5-585"
"586",1,186.74,-16.62,"event-1-586"
"587",2,168.75,-20.09,"event-2-587"
"588",3,179.87,-24.96,"event-3-588"
"589",4,181.42,-20.95,"event-4-589"
"590",5,179.27,-23.31,"event-5-590"
"591",1,181.06,-20.95,"event-1-591"
"592",2,181.9,-21.58,"event-2-592"
"593",3,167.15,-13.62,"event-3-593"
"594",4,166.28,-12.72,"event-4-594"
"595",5,185,-21.79,"event-5-595"
"596",1,169.76,-20.48,"event-1-596"
"597",2,166.78,-12.84,"event-2-597"
"598",3,182.93,-17.02,"event-3-598"
"599",4,182.39,-23.89,"event-4-599"
"600",5,184.03,-23.07,"event-5-600"
"601",1,181.96,-27.98,"event-1-601"
"602",2,182.25,-28.1,"event-2-602"
"603",3,180.81,-21.24,"event-3-603"
"604",4,180.86,-21.24,"event-4-604"
"605",5,174.46,-19.89,"event-5-605"
"606",1,179.8,-32.82,"event-1-606"
"607",2,185.5,-22,"event-2-607"
"608",3,185.62,-21.57,"event-3-608"
"609",4,180.92,-24.5,"event-4-609"
"610",5,180.2,-33.03,"event-5-610"
"611",1,182.4,-30.09,"event-1-611"
"612",2,170.99,-22.75,"event-2-612"
"613",3,168.98,-17.99,"event-3-613"
"614",4,181.87,-19.6,"event-4-614"
"615",5,186.26,-15.65,"event-5-615"
"616",1,181.53,-17.78,"event-1-616"
"617",2,184.91,-22.04,"event-2-617"
"618",3,168.69,-20.06,"event-3-618"
"619",4,181.54,-18.07,"event-4-619"
"620",5,165.67,-12.85,"event-5-620"
"621",1,181.3,-33.29,"event-1-621"
"622",2,179.1,-34.63,"event-2-622"
"623",3,179.02,-24.18,"event-3-623"
"624",4,180.31,-23.78,"event-4-624"
"625",5,171.5,-22.37,"event-5-625"
"626",1,179.91,-23.97,"event-1-626"
"627",2,181.75,-34.12,"event-2-627"
"628",3,179.86,-25.25,"event-3-628"
"629",4,172.65,-22.87,"event-4-629"
"630",5,182.37,-18.48,"event-5-630"
"631",1,181.02,-21.46,"event-1-631"
"632",2,183.47,-28.56,"event-2-632"
"633",3,183.59,-28.56,"event-3-633"
"634",4,180.92,-21.3,"event-4-634"
"635",5,183.22,-20.08,"event-5-635"
"636",1,182.21,-18.82,"event-1-636"
